832
2326	637	6886
4843	149	4843
9671	190	7174
8055	305	8055
9549	855	11909
13652	446	13585
1100	305	1100
1321	176	14529
11074	444	1002
4668	1172	9007
7266	444	11750
12271	101	12271
4766	470	6205
2129	176	13806
1624	190	10851
3106	275	3107
11815	226	8842
376	305	376
4142	149	4142
7929	305	7929
3939	190	4387
4753	423	10689
1785	190	4433
197	423	5800
1675	190	8660
11216	149	11216
487	698	6941
14413	95	3636
3296	190	8269
2188	358	5216
4881	446	13935
2999	966	4598
7333	226	6560
6349	444	1227
13468	446	11918
13763	305	13763
2187	101	2187
13177	470	3513
3017	637	270
9844	149	9844
13518	101	13518
11751	242	14295
4544	149	4544
9703	101	9703
0	95	10598
11863	446	14219
14396	101	14396
5438	444	5255
11017	242	5390
8703	305	8703
7023	396	10286
714	190	4627
11670	101	11670
7363	964	2764
5476	667	10060
12102	1213	14703
5333	667	2095
1391	966	5311
5288	149	5288
1432	190	7674
1016	470	3095
8103	439	6135
13611	159	5360
7951	444	9751
3117	149	3117
8053	446	6619
7655	712	2280
6023	470	9808
8020	1260	1068
162	292	2042
3245	358	1710
13397	856	11620
10834	190	9891
5216	358	1568
608	444	11005
13242	1241	5068
167	112	424
183	176	11914
8381	149	8381
10771	242	7953
2818	242	8616
3242	95	14324
9517	176	247
7624	305	7624
12311	305	12311
4729	101	4729
14211	176	13538
7098	444	9383
5891	242	2995
5788	149	5788
7071	1251	4197
8928	1154	2226
3112	691	397
410	101	410
3792	176	314
12158	439	2953
8948	305	8948
11670	446	9300
10964	305	10964
12881	176	546
12666	292	11941
10770	190	9227
1275	190	12025
11923	95	1966
1886	446	1885
2514	93	8204
8684	149	8684
2671	149	2671
12903	928	6011
13736	1002	10192
11964	101	11964
4699	93	5258
865	1238	13006
13952	101	13952
2511	783	1565
10713	292	5332
1441	456	2711
3930	1222	12369
3655	295	13003
4356	292	7330
4944	93	4943
10528	112	2876
454	444	4645
11330	305	11330
13805	149	13805
5118	358	3629
8920	637	1513
13815	446	10036
11400	446	7886
1402	444	712
8332	358	6242
6193	292	8728
5375	1102	7952
657	303	8481
9745	242	11402
2514	93	2439
12559	292	3772
4036	305	4036
9883	190	11004
524	149	524
6551	396	8482
9946	242	12404
7957	673	2720
11145	176	10975
5483	190	1114
2674	305	2674
5425	873	7989
9510	396	11800
12565	242	5454
9947	242	11125
12379	101	12379
1330	444	632
1505	423	4371
2744	175	3116
2358	820	4026
9973	176	7255
1927	609	1927
12471	101	12471
751	305	751
13291	101	13291
13195	149	13195
2407	190	3724
12693	305	12693
6338	190	2616
839	226	321
4089	444	5380
4463	242	12665
5260	275	1994
8524	456	1983
3243	93	6903
703	637	1123
9043	176	6506
9695	101	9695
7477	456	10458
13786	190	1700
11417	95	14174
6485	275	11218
3480	1166	8180
6445	456	8360
3636	446	7829
8939	305	8939
6799	446	12231
1704	444	3245
2348	95	9132
7546	360	756
12932	439	1711
8831	444	1360
6581	190	9609
2692	359	5922
1633	637	2504
7363	964	2765
9794	149	9794
14849	609	9912
2818	439	8616
5817	176	2353
1259	226	3074
5834	66	2280
3242	190	14629
7219	446	7218
13808	1177	13808
13272	149	13272
8037	149	8037
4014	242	10989
10286	396	11313
14137	305	14137
7135	149	7135
9572	93	4410
4772	358	5823
3384	470	3836
5054	149	5054
1725	439	2028
7954	149	7954
1225	358	2754
5105	456	2286
11969	637	880
3140	66	1527
1798	190	2063
2394	446	12623
2239	176	2469
4612	358	4388
7341	149	7341
1513	226	6527
13235	691	13235
12559	444	12907
4036	149	4036
2272	456	9838
8481	1036	657
8858	149	8858
9960	516	5553
6883	439	6883
758	190	7550
3674	93	956
6168	295	8475
10903	101	10903
424	1211	12094
8813	444	2585
6728	966	6728
13069	176	13714
11296	516	10528
4786	444	1838
6065	358	1401
8226	698	1329
8676	360	8709
7534	190	7459
1983	456	8524
3790	609	573
5248	149	5248
8104	226	11310
4637	423	10534
2328	190	10498
8488	305	8488
10107	358	5208
2547	295	8002
11463	149	11463
8555	101	8555
6339	226	5180
1059	1002	576
14898	781	8354
11988	149	11988
7052	446	2589
2769	423	11161
9717	470	2445
1358	95	10383
14340	101	14340
2754	93	1744
9310	358	677
5515	396	3292
5483	190	14035
2421	637	880
6013	305	6013
8028	873	2442
4456	423	2728
8478	190	11991
2042	423	162
3439	444	4141
1925	95	12757
1269	93	652
726	226	6761
3939	446	11300
11619	667	2928
5986	1052	892
2701	305	2701
4545	439	4545
6205	275	4766
3456	305	3456
3476	190	14455
13554	470	5025
11421	275	9357
2107	95	8695
6758	149	6758
9713	446	8883
4954	609	4954
10638	149	10638
13293	446	7530
5728	226	7606
12501	803	920
4349	226	5065
1279	793	10890
9102	439	12438
13791	149	13791
12005	981	1674
4917	423	7626
900	190	4429
11727	305	11727
13209	1216	4680
10861	446	10860
11800	396	9510
7078	444	2268
3951	305	3951
14452	543	12088
10805	295	13286
10172	305	10172
13427	101	13427
13430	446	2767
13793	176	2916
3203	456	4150
430	396	9843
13736	659	10192
7722	275	10043
8696	101	8696
1389	697	2632
9051	305	9051
4642	93	6498
12251	305	12251
10568	396	2430
605	470	8745
5378	149	5378
14662	1081	14662
2003	470	10909
8466	242	8465
4297	176	7130
12972	101	12972
7444	637	7956
5672	358	462
2506	101	2506
7801	95	1134
12576	305	12576
487	698	2842
677	358	7072
3756	444	3899
11854	446	13707
9817	659	5480
734	618	8180
1203	456	5562
3674	358	6509
13147	295	6806
1307	446	11484
7433	305	7433
11410	295	13510
11410	242	13510
4207	149	4207
5540	791	6610
13805	305	13805
14568	444	13946
12659	439	10703
11853	176	11510
5778	190	2034
11076	101	11076
2633	536	2194
3920	806	706
7664	470	4707
6841	101	6841
13004	456	8360
2234	292	10530
12596	609	163
1264	190	9197
